year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,school_status,lowest_grade_offered,highest_grade_offered,elem_cedp,middle_cedp,high_cedp,enrollment,bureau_indian_education,title_i_status,title_i_eligible,title_i_schoolwide,magnet,shared_time,virtual,lunch_program,teachers_fte,gleaid,school_id,geo_longitude,geo_latitude,leaid,geocode_accuracy,geocode_accuracy_detailed,state_leaid,state_fips_geo,seasch,county_fips_geo,street_mailing,puma,city_mailing,tract,state_mailing,block_group,zip_mailing,geoid_block,street_location,census_region,city_location,census_division,csa,zip_location,cbsa,phone,cbsa_name,fips,cbsa_type,latitude,cbsa_city,longitude,place_fips,geoid_place,place_name,urban_centric_locale,class_code,county_code,upper_chamber,congress_district_id,state_leg_district_upper,state_leg_district_lower,upper_chamber_name,lower_chamber,lower_chamber_name,lower_chamber_type,teachers_fte_crdc,teachers_certified_fte,teachers_uncertified_fte,teachers_first_year_fte,teachers_second_year_fte,teachers_current_sy,teachers_previous_sy,instructional_aides_fte,teachers_absent_fte,support_fte,counselors_fte,administration_fte,social_workers_fte,psychologists_fte,nurses_fte,law_enforcement_fte,security_guard_fte,law_enforcement_ind,salaries_teachers,salaries_total,salaries_instruc_staff,salaries_instructional_aides,salaries_support,salaries_administration,expenditures_nonpersonnel
mixed - most recent,"270002502875","270 HOPKINS ALTERNATIVE","MN","Intermediate School District 287","High","Other/alternative school","No","Open","9","12","No","No","Yes","28","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","Yes","No","No","","14260","2702875","-93.412116","44.958246","2700025","Not applicable","Point address","MN-060287","Minnesota","060287-060287626","27053","2400 LINDBERGH DR","01404","MINNETONKA","26402","MN","1","55305","270530264021","2400 LINDBERGH DR","Midwest","MINNETONKA","West north central","378","55305","33460","(952)988-4509","Minneapolis-St. Paul-Bloomington, MN-WI","Minnesota","Metropolitan statistical area","44.958246","Yes","-93.412116","43252","2743252","Minnetonka city","City, small","Minor civil division equivalent (incorporated)","27053","27043","2703","27044","2744B","State Senate District 43","2743B","State House District 43B","State house district","","","","","","","","","","","","","","","","","","","","","","","","",""
mixed - most recent,"270002503397","270 HOPKINS NORTH JR HIGH ALC","MN","Intermediate School District 287","High","Other/alternative school","No","Open","7","12","No","Yes","Yes","0","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","Yes","No","No","","14260","2703397","-93.413825","44.954409","2700025","Not applicable","Point address","MN-060287","Minnesota","060287-060287709","27053","10700 CEDAR LAKE RD","01404","MINNETONKA","26402","MN","1","55305","270530264021","10700 CEDAR LAKE RD","Midwest","MINNETONKA","West north central","378","55305","33460","(952)988-4843","Minneapolis-St. Paul-Bloomington, MN-WI","Minnesota","Metropolitan statistical area","44.954409","Yes","-93.413825","43252","2743252","Minnetonka city","City, small","Minor civil division equivalent (incorporated)","27053","27043","2703","27044","2744B","State Senate District 43","2743B","State House District 43B","State house district","","","","","","","","","","","","","","","","","","","","","","","","",""
mixed - most recent,"270002503396","270 HOPKINS WEST JR HIGH ALC","MN","Intermediate School District 287","Middle","Other/alternative school","No","Open","7","9","No","Yes","No","0","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","Yes","No","No","","14260","2703396","-93.449255","44.933065","2700025","Not applicable","Point address","MN-060287","Minnesota","060287-060287710","27053","3830 BAKER RD","01404","MINNETONKA","26101","MN","3","55305","270530261013","3830 BAKER RD","Midwest","MINNETONKA","West north central","378","55305","33460","(952)988-4843","Minneapolis-St. Paul-Bloomington, MN-WI","Minnesota","Metropolitan statistical area","44.933065","Yes","-93.449255","43252","2743252","Minnetonka city","City, small","Minor civil division equivalent (incorporated)","27053","27043","2703","27044","2744B","State Senate District 43","2743B","State House District 43B","State house district","","","","","","","","","","","","","","","","","","","","","","","","",""
mixed - most recent,"270002503554","277 WESTONKA AREA LEARNING ACADEMY","MN","Intermediate School District 287","High","Other/alternative school","No","Open","9","12","No","No","Yes","27","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","Yes","No","No","","22920","2703554","-93.670064","44.955249","2700025","Not applicable","Point address","MN-060287","Minnesota","060287-060287754","27053","5901 SUNNYFIELD RD E","01401","MINNETRISTA","27700","MN","1","55364","270530277001","5901 SUNNYFIELD RD E","Midwest","MINNETRISTA","West north central","378","55364","33460","(952)491-8258","Minneapolis-St. Paul-Bloomington, MN-WI","Minnesota","Metropolitan statistical area","44.955249","No","-93.670064","43306","2743306","Minnetrista city","Rural, fringe","Minor civil division equivalent (incorporated)","27053","27033","2703","27033","2733A","State Senate District 33","2733A","State House District 33A","State house district","","","","","","","","","","","","","","","","","","","","","","","","",""
mixed - most recent,"272520012756","279 Excel","MN","OSSEO PUBLIC SCHOOL DISTRICT","Missing/not reported","Regular school","No","Future","","","No","No","Yes","","","","","","","","","","","","2712756","","","2725200","","","MN-010279","","010279-010279813","","7300 BOONE AVE N","","BROOKLYN PARK","","MN","","55428","","7300 BOONE AVE N","","BROOKLYN PARK","","378","55428","33460","(763)391-8890","","Minnesota","","45.088126","","-93.390749","","","","Suburb, large","","27053","","2703","27040","2740A","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
mixed - most recent,"272520005370","279Online Learning Program 6-8","MN","OSSEO PUBLIC SCHOOL DISTRICT","Middle","Regular school","No","Open","6","8","No","Yes","No","99","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","Yes","No","14","25200","2705370","-93.390784","45.087995","2725200","Not applicable","","MN-010279","Minnesota","010279-010279811","27053","7300 BOONE AVE N","01402","BROOKLYN PARK","26807","MN","6","55428","270530268076","7300 BOONE AVE N","Midwest","BROOKLYN PARK","West north central","378","55428","33460","(763)391-8890","Minneapolis-St. Paul-Bloomington, MN-WI","Minnesota","Metropolitan statistical area","45.087995","No","-93.390784","7966","2707966","Brooklyn Park city","Suburb, large","Minor civil division equivalent (incorporated)","27053","27046","2703","27040","2740A","State Senate District 46","2746A","State House District 46A","State house district","","","","","","","","","","","","","","","","","","","","","","","","",""
mixed - most recent,"272520005371","279Online Learning Program 9-12","MN","OSSEO PUBLIC SCHOOL DISTRICT","High","Regular school","No","Open","9","12","No","No","Yes","195","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","Yes","No","22","25200","2705371","-93.390784","45.087995","2725200","Not applicable","","MN-010279","Minnesota","010279-010279812","27053","7300 BOONE AVE N","01402","BROOKLYN PARK","26807","MN","6","55428","270530268076","7300 BOONE AVE N","Midwest","BROOKLYN PARK","West north central","378","55428","33460","(763)391-8890","Minneapolis-St. Paul-Bloomington, MN-WI","Minnesota","Metropolitan statistical area","45.087995","No","-93.390784","7966","2707966","Brooklyn Park city","Suburb, large","Minor civil division equivalent (incorporated)","27053","27046","2703","27040","2740A","State Senate District 46","2746A","State House District 46A","State house district","","","","","","","","","","","","","","","","","","","","","","","","",""
mixed - most recent,"272520005369","279Online Learning Program K-5","MN","OSSEO PUBLIC SCHOOL DISTRICT","Primary","Regular school","No","Open","Kindergarten","5","Yes","No","No","133","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","Yes","No","17","25200","2705369","-93.390784","45.087995","2725200","Not applicable","","MN-010279","Minnesota","010279-010279810","27053","7300 BOONE AVE N","01402","BROOKLYN PARK","26807","MN","6","55428","270530268076","7300 BOONE AVE N","Midwest","BROOKLYN PARK","West north central","378","55428","33460","(763)391-8890","Minneapolis-St. Paul-Bloomington, MN-WI","Minnesota","Metropolitan statistical area","45.087995","No","-93.390784","7966","2707966","Brooklyn Park city","Suburb, large","Minor civil division equivalent (incorporated)","27053","27046","2703","27040","2740A","State Senate District 46","2746A","State House District 46A","State house district","","","","","","","","","","","","","","","","","","","","","","","","",""
mixed - most recent,"270002503562","283 ST LOUIS PK INDEPENDENT STUDY","MN","Intermediate School District 287","High","Other/alternative school","No","Open","9","12","No","No","Yes","2","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","Yes","No","No","","33780","2703562","-93.361079","44.942793","2700025","Not applicable","Point address","MN-060287","Minnesota","060287-060287762","27053","6425 W 33RD ST","01405","SAINT LOUIS PARK","122600","MN","2","55426","270531226002","6425 W 33RD ST","Midwest","SAINT LOUIS PARK","West north central","378","55426","33460","(952)928-6000","Minneapolis-St. Paul-Bloomington, MN-WI","Minnesota","Metropolitan statistical area","44.942793","No","-93.361079","57220","2757220","St. Louis Park city","Suburb, large","Minor civil division equivalent (incorporated)","27053","27044","2705","27046","2746B","State Senate District 44","2744A","State House District 44A","State house district","","","","","","","","","","","","","","","","","","","","","","","","",""
mixed - most recent,"270002504216","283-IND STDY 15 AND UNDER - I.S.","MN","Intermediate School District 287","High","Other/alternative school","No","Open","9","12","No","No","Yes","0","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","Yes","No","No","","33780","2704216","-93.361079","44.942793","2700025","Not applicable","Point address","MN-060287","Minnesota","060287-060287777","27053","6425 W 33RD ST","01405","SAINT LOUIS PARK","122600","MN","2","55426","270531226002","6425 W 33RD ST","Midwest","SAINT LOUIS PARK","West north central","378","55426","33460","(952)928-6000","Minneapolis-St. Paul-Bloomington, MN-WI","Minnesota","Metropolitan statistical area","44.942793","No","-93.361079","57220","2757220","St. Louis Park city","Suburb, large","Minor civil division equivalent (incorporated)","27053","27044","2705","27046","2746B","State Senate District 44","2744A","State House District 44A","State house district","","","","","","","","","","","","","","","","","","","","","","","","",""
mixed - most recent,"270002503561","283-ST. LOUIS PARK ALC","MN","Intermediate School District 287","High","Other/alternative school","No","Open","9","12","No","No","Yes","0","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","Yes","No","No","","33780","2703561","-93.361079","44.942793","2700025","Not applicable","Point address","MN-060287","Minnesota","060287-060287761","27053","6425 W 33RD ST","01405","SAINT LOUIS PARK","122600","MN","2","55426","270531226002","6425 W 33RD ST","Midwest","SAINT LOUIS PARK","West north central","378","55426","33460","(952)928-6000","Minneapolis-St. Paul-Bloomington, MN-WI","Minnesota","Metropolitan statistical area","44.942793","No","-93.361079","57220","2757220","St. Louis Park city","Suburb, large","Minor civil division equivalent (incorporated)","27053","27044","2705","27046","2746B","State Senate District 44","2744A","State House District 44A","State house district","","","","","","","","","","","","","","","","","","","","","","","","",""
mixed - most recent,"270002504823","4122 - Eagle Ridge Academy - IS","MN","Intermediate School District 287","High","Other/alternative school","No","Open","9","12","No","No","Yes","0","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","Yes","No","No","","14260","2704823","-93.418351","44.90035","2700025","Not applicable","Point address","MN-060287","Minnesota","060287-060287854","27053","11111 BREN ROAD  WEST","01404","MINNETONKA","26104","MN","1","55343","270530261041","11111 BREN ROAD  WEST","Midwest","MINNETONKA","West north central","378","55343","33460","(952)746-7760","Minneapolis-St. Paul-Bloomington, MN-WI","Minnesota","Metropolitan statistical area","44.90035","Yes","-93.418351","43252","2743252","Minnetonka city","City, small","Minor civil division equivalent (incorporated)","27053","27042","2703","27049","2749B","State Senate District 42","2742A","State House District 42A","State house district","","","","","","","","","","","","","","","","","","","","","","","","",""
mixed - most recent,"270002504476","4126 - PRAIRIE SEEDS ACADEMY - IS","MN","Intermediate School District 287","High","Other/alternative school","No","Open","9","12","No","No","Yes","0","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","Yes","No","No","","31780","2704476","-93.374598","45.066202","2700025","Not applicable","Point address","MN-060287","Minnesota","060287-060287792","27053","6200 W BROADWAY AVE","01402","BROOKLYN PARK","26807","MN","1","55428","270530268071","6200 WEST BROADWAY AVE","Midwest","BROOKLYN PARK","West north central","378","55428","33460","(763)450-1388","Minneapolis-St. Paul-Bloomington, MN-WI","Minnesota","Metropolitan statistical area","45.066202","No","-93.374598","7966","2707966","Brooklyn Park city","Suburb, large","Minor civil division equivalent (incorporated)","27053","27046","2703","27040","2740A","State Senate District 46","2746A","State House District 46A","State house district","","","","","","","","","","","","","","","","","","","","","","","","",""
mixed - most recent,"274416005400","518 Virtual Instruction Elementary","MN","WORTHINGTON PUBLIC SCHOOL DISTRICT","Missing/not reported","Regular school","No","Closed","Kindergarten","6","Yes","No","Yes","347","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","Yes","No","7","44160","2705400","-95.635448","43.623315","2744160","Not applicable","","MN-010518","Minnesota","010518-010518035","27105","825 N CRAILSHEIM RD","02500","WORTHINGTON","105600","MN","1","56187","271051056001","825 N CRAILSHEIM RD","Midwest","WORTHINGTON","West north central","Not applicable","56187","49380","(507)372-1322","Worthington, MN","Minnesota","Micropolitan statistical area","43.623315","","-95.635448","","","","Rural, fringe","","27105","27022","2701","27022","2722B","State Senate District 22","2722B","State House District 22B","State house district","","","","","","","","","","","","","","","","","","","","","","","","",""
mixed - most recent,"274416004676","518 Virtual Instruction Secondary","MN","WORTHINGTON PUBLIC SCHOOL DISTRICT","Missing/not reported","Regular school","No","Closed","7","12","Yes","Yes","Yes","125","","School is eligible for Title I Targeted Assistance (TAS) but provides no program","Yes","No","Yes","No","Yes","No","1","44160","2704676","-95.635448","43.623315","2744160","Not applicable","Subaddress","MN-010518","Minnesota","010518-010518020","27105","825 N CRAILSHEIM RD","02500","WORTHINGTON","105600","MN","1","56187","271051056001","825 N CRAILSHEIM RD","Midwest","WORTHINGTON","West north central","Not applicable","56187","49380","(507)372-1322","Worthington, MN","Minnesota","Micropolitan statistical area","43.623315","","-95.635448","","","","Rural, fringe","","27105","27022","2701","27022","2722B","State Senate District 22","2722B","State House District 22B","State house district","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.000","0.000","0.000","No","Not applicable","49400.000","40265","-2.000","-2.000","49400.000","1181143.000"
mixed - most recent,"279144305446","5RiversOnline Elementary","MN","Goodhue County Education District","Primary","Regular school","No","Open","Kindergarten","6","Yes","No","No","31","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","Yes","No","9","30480","2705446","-92.51713","44.536797","2791443","Not applicable","","MN-616051","Minnesota","616051-616051101","27049","395 GUERNSEY LANE","02100","RED WING","80200","MN","4","55066","270490802004","395 GUERNSEY LANE","Midwest","RED WING","West north central","378","55066","39860","(651)388-4441","Red Wing, MN","Minnesota","Micropolitan statistical area","44.536797","Yes","-92.51713","53620","2753620","Red Wing city","Rural, fringe","Minor civil division equivalent (incorporated)","27049","27028","2702","27021","2721A","State Senate District 28","2728A","State House District 28A","State house district","","","","","","","","","","","","","","","","","","","","","","","","",""
mixed - most recent,"279144305447","5RiversOnline Secondary","MN","Goodhue County Education District","High","Regular school","No","Open","7","12","No","Yes","Yes","122","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","Yes","No","5","30480","2705447","-92.51713","44.536797","2791443","Not applicable","","MN-616051","Minnesota","616051-616051201","27049","395 GUERNSEY LANE","02100","RED WING","80200","MN","4","55066","270490802004","395 GUERNSEY LANE","Midwest","RED WING","West north central","378","55066","39860","(651)388-4441","Red Wing, MN","Minnesota","Micropolitan statistical area","44.536797","Yes","-92.51713","53620","2753620","Red Wing city","Rural, fringe","Minor civil division equivalent (incorporated)","27049","27028","2702","27021","2721A","State Senate District 28","2728A","State House District 28A","State house district","","","","","","","","","","","","","","","","","","","","","","","","",""
mixed - most recent,"270015000652","6-12th Grade Building","MN","CLINTON-GRACEVILLE-BEARDSLEY","High","Regular school","No","Open","6","12","No","Yes","Yes","127","","School is eligible for Title I Targeted Assistance (TAS) and provides TAS program","Yes","","No","No","No","Yes participating without using any Provision or the CEP","10","00150","2700652","-96.433228","45.569245","2700150","Not applicable","Point address","MN-012888","Minnesota","012888-012888003","27011","BOX 398","00700","GRACEVILLE","950200","MN","2","56240","270119502002","712 3RD ST","Midwest","GRACEVILLE","West north central","Not applicable","56240","Not applicable","(320)748-7233","","Minnesota","","45.569245","No","-96.433228","24758","2724758","Graceville city","Rural, remote","Minor civil division equivalent (incorporated)","27011","27020","2707","27012","2712A","State Senate District 20","2720A","State House District 20A","State house district","11.000","11.780","0.000","1.000","2.000","15.000","14.000","3.910","3.500","1.680","0.600","0.430","0.000","0.500","0.000","0.000","0.000","No","621390","792442.000","792814","64668.000","68948.000","37436.000","166976.000"
mixed - most recent,"272385001044","622 ALTERNATIVE MIDDLE/HIGH SCHOOL","MN","North St. Paul-Maplewood Oakdale","High","Other/alternative school","No","Open","6","12","No","Yes","Yes","0","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","Yes","No","No","","23850","2701044","-92.995065","45.016149","2723850","Not applicable","Point address","MN-010622","Minnesota","010622-010622040","27123","2520 E 12TH AVENUE","01602","NORTH SAINT PAUL","42601","MN","3","55109","271230426013","2520 E 12TH AVENUE","Midwest","NORTH SAINT PAUL","West north central","378","55109","33460","(651)748-7454","Minneapolis-St. Paul-Bloomington, MN-WI","Minnesota","Metropolitan statistical area","45.016149","No","-92.995065","47221","2747221","North St. Paul city","Suburb, large","Minor civil division equivalent (incorporated)","27123","27055","2704","27043","2743B","State Senate District 55","2755A","State House District 55A","State house district","","","","","","","","","","","","","","","","","","","265464","388940.170","341409","","","",""
mixed - most recent,"272385005410","622 Online Elementary School","MN","North St. Paul-Maplewood Oakdale","Primary","Regular school","No","Open","Kindergarten","5","Yes","No","No","57","","School is not eligible for either Title I Targeted Assistance or Schoolwide program","No","No","No","No","Yes","No","9","23850","2705410","-92.995065","45.016149","2723850","Not applicable","","MN-010622","Minnesota","010622-010622047","27123","2170 7TH AVE E","01602","NORTH SAINT PAUL","42601","MN","3","55109","271230426013","2170 7TH AVE E","Midwest","NORTH SAINT PAUL","West north central","378","55109","33460","(651)748-7610","Minneapolis-St. Paul-Bloomington, MN-WI","Minnesota","Metropolitan statistical area","45.016149","No","-92.995065","47221","2747221","North St. Paul city","Suburb, large","Minor civil division equivalent (incorporated)","27123","27055","2704","27043","2743B","State Senate District 55","2755A","State House District 55A","State house district","","","","","","","","","","","","","","","","","","","","","","","","",""
